Quiet file: XC395622.ogg, dBFS is -66.6
 {'quiet_files': ['XC358508.ogg', 'XC345898.ogg', 'XC330469.ogg', 'XC256082.ogg'], 'silent_files': []}, 
 {'quiet_files': ['XC488506.ogg', 'XC535054.ogg', 'XC535057.ogg', 'XC535078.ogg', 'XC535079.ogg', 'XC535080.ogg', 'XC535086.ogg', 'XC535088.ogg', 'XC535089.ogg', 'XC535090.ogg', 'XC330636.ogg', 'XC457490.ogg', 'XC291935.ogg', 'XC314041.ogg', 'XC356012.ogg', 'XC549227.ogg', 'XC305164.ogg', 'XC372263.ogg'], 'silent_files': ['XC579430.ogg', 'XC535073.ogg', 'XC535091.ogg']},
 {'quiet_files': ['XC504994.ogg', 'XC544809.ogg', 'XC431962.ogg', 'XC535303.ogg', 'XC535309.ogg', 'XC137599.ogg', 'XC182574.ogg', 'XC182575.ogg'], 'silent_files': ['XC469985.ogg', 'XC535306.ogg']},
 {'quiet_files': ['XC349955.ogg', 'XC457489.ogg', 'XC313916.ogg', 'XC314242.ogg', 'XC181332.ogg', 'XC518412.ogg'], 'silent_files': ['XC590621.ogg']},
 {'quiet_files': ['XC267510.ogg', 'XC535153.ogg', 'XC263153.ogg', 'XC536604.ogg', 'XC260596.ogg', 'XC540337.ogg', 'XC567735.ogg', 'XC286524.ogg', 'XC389891.ogg'], 'silent_files': ['XC141034.ogg']}, 
 {'quiet_files': ['XC564372.ogg', 'XC433333.ogg', 'XC535151.ogg', 'XC488399.ogg', 'XC323895.ogg', 'XC295936.ogg', 'XC360237.ogg', 'XC431935.ogg'], 'silent_files': []}, 
 {'quiet_files': ['XC202025.ogg', 'XC526706.ogg', 'XC439536.ogg', 'XC535204.ogg', 'XC186856.ogg', 'XC294960.ogg', 'XC386080.ogg'], 'silent_files': ['XC208852.ogg', 'XC208883.ogg', 'XC284190.ogg']}, 
 {'quiet_files': ['XC535160.ogg', 'XC297670.ogg', 'XC314245.ogg'], 'silent_files': []}, 
 {'quiet_files': ['XC349803.ogg', 'XC541381.ogg', 'XC358509.ogg'], 'silent_files': ['XC534949.ogg']}, 
 {'quiet_files': ['XC395622.ogg', 'XC153278.ogg', 'XC535268.ogg', 'XC535271.ogg', 'XC501496.ogg', 'XC551690.ogg', 'XC581305.ogg', 'XC185594.ogg', 'XC535046.ogg', 'XC535047.ogg', 'XC535048.ogg', 'XC255363.ogg', 'XC186851.ogg', 'XC244402.ogg'], 'silent_files': ['XC282102.ogg', 'XC580627.ogg', 'XC439459.ogg', 'XC141187.ogg', 'XC154485.ogg']}]
[Check quiet and silent files] DONE in 0:50:33


#### Noisy part

Noisy file: XC154089.ogg, dBFS is -12.7
Super noisy file: XC484923.ogg, dBFS is -10.0
Noisy file: XC209698.ogg, dBFS is -13.1
Noisy file: XC342677.ogg, dBFS is -14.9
Super noisy file: XC23518.ogg, dBFS is -9.5
Super noisy file: XC254771.ogg, dBFS is -11.2
Noisy file: XC285208.ogg, dBFS is -14.4
Noisy file: XC154103.ogg, dBFS is -13.8
Super noisy file: XC189671.ogg, dBFS is -9.9
Noisy file: XC113408.ogg, dBFS is -14.6
Noisy file: XC9686.ogg, dBFS is -13.8
Noisy file: XC437631.ogg, dBFS is -14.8
Super noisy file: XC215880.ogg, dBFS is -4.4
Super noisy file: XC215883.ogg, dBFS is -5.3
Super noisy file: XC215885.ogg, dBFS is -6.8
Super noisy file: XC215886.ogg, dBFS is -6.5
Super noisy file: XC215887.ogg, dBFS is -9.1
Super noisy file: XC215917.ogg, dBFS is -4.9
Noisy file: XC437099.ogg, dBFS is -14.9
Noisy file: XC216235.ogg, dBFS is -12.9
Noisy file: XC331588.ogg, dBFS is -12.8
Super noisy file: XC216237.ogg, dBFS is -7.6
Noisy file: XC216238.ogg, dBFS is -13.9
Super noisy file: XC351209.ogg, dBFS is -10.6
Super noisy file: XC433364.ogg, dBFS is -11.7
Noisy file: XC282798.ogg, dBFS is -12.5
Noisy file: XC282799.ogg, dBFS is -13.7
Noisy file: XC192238.ogg, dBFS is -15.0
Noisy file: XC551035.ogg, dBFS is -13.1
Noisy file: XC551038.ogg, dBFS is -13.1
Noisy file: XC551050.ogg, dBFS is -13.0
Noisy file: XC189399.ogg, dBFS is -14.3
Super noisy file: XC154104.ogg, dBFS is -9.3
Noisy file: XC282627.ogg, dBFS is -14.1
Noisy file: XC287593.ogg, dBFS is -13.2
Noisy file: XC559690.ogg, dBFS is -12.8
Noisy file: XC292088.ogg, dBFS is -14.7
Noisy file: XC152767.ogg, dBFS is -12.2
Super noisy file: XC153635.ogg, dBFS is -8.0
Noisy file: XC205284.ogg, dBFS is -15.0
Super noisy file: XC379655.ogg, dBFS is -10.5
Noisy file: XC283536.ogg, dBFS is -12.7
Noisy file: XC154573.ogg, dBFS is -14.4
Noisy file: XC154785.ogg, dBFS is -12.1
Noisy file: XC154798.ogg, dBFS is -12.6
Noisy file: XC155354.ogg, dBFS is -14.5
Noisy file: XC475292.ogg, dBFS is -12.5
Noisy file: XC215893.ogg, dBFS is -14.0
Super noisy file: XC215900.ogg, dBFS is -11.1
Noisy file: XC215902.ogg, dBFS is -14.9
Noisy file: XC215912.ogg, dBFS is -13.5
Super noisy file: XC215915.ogg, dBFS is -5.6
Super noisy file: XC156403.ogg, dBFS is -11.7
Noisy file: XC215932.ogg, dBFS is -13.8
Super noisy file: XC215934.ogg, dBFS is -9.0
Noisy file: XC215935.ogg, dBFS is -14.2
Noisy file: XC216048.ogg, dBFS is -13.2
Super noisy file: XC216052.ogg, dBFS is -9.1
Super noisy file: XC216068.ogg, dBFS is -10.2
Noisy file: XC144874.ogg, dBFS is -14.1
Noisy file: XC31284.ogg, dBFS is -13.1
Super noisy file: XC152438.ogg, dBFS is -9.6
Super noisy file: XC153628.ogg, dBFS is -6.2
Super noisy file: XC216207.ogg, dBFS is -10.0
Super noisy file: XC154444.ogg, dBFS is -9.4
Noisy file: XC372023.ogg, dBFS is -14.3
Super noisy file: XC216404.ogg, dBFS is -8.7
Super noisy file: XC216406.ogg, dBFS is -8.4
Super noisy file: XC232634.ogg, dBFS is -8.4
Noisy file: XC209878.ogg, dBFS is -14.3
Super noisy file: XC209879.ogg, dBFS is -11.7
Noisy file: XC213426.ogg, dBFS is -12.6
Super noisy file: XC216422.ogg, dBFS is -11.1
Noisy file: XC11212.ogg, dBFS is -14.3
Super noisy file: XC112903.ogg, dBFS is -11.6
Noisy file: XC301669.ogg, dBFS is -13.2
Super noisy file: XC152416.ogg, dBFS is -9.9
Noisy file: XC324031.ogg, dBFS is -14.6
Noisy file: XC357617.ogg, dBFS is -14.6
Noisy file: XC168752.ogg, dBFS is -14.6
Noisy file: XC435941.ogg, dBFS is -13.7
Noisy file: XC154448.ogg, dBFS is -13.1
Noisy file: XC420573.ogg, dBFS is -14.5
Noisy file: XC554811.ogg, dBFS is -12.8
Super noisy file: XC283284.ogg, dBFS is -9.2
Noisy file: XC507340.ogg, dBFS is -14.9
Super noisy file: XC177595.ogg, dBFS is -11.1
Super noisy file: XC340052.ogg, dBFS is -10.0
Noisy file: XC520429.ogg, dBFS is -14.5
Noisy file: XC433498.ogg, dBFS is -13.8
Noisy file: XC559917.ogg, dBFS is -13.8
Super noisy file: XC107.ogg, dBFS is -8.3
Super noisy file: XC372645.ogg, dBFS is -10.8
Noisy file: XC372647.ogg, dBFS is -12.1
Noisy file: XC128603.ogg, dBFS is -14.6
Noisy file: XC343255.ogg, dBFS is -14.0
Noisy file: XC126398.ogg, dBFS is -14.2
Super noisy file: XC137808.ogg, dBFS is -9.3
Noisy file: XC9881.ogg, dBFS is -14.7
Noisy file: XC331633.ogg, dBFS is -13.6
Super noisy file: XC331634.ogg, dBFS is -4.7
Noisy file: XC118.ogg, dBFS is -14.7
Noisy file: XC11501.ogg, dBFS is -14.4
Super noisy file: XC185999.ogg, dBFS is -11.4
Super noisy file: XC186004.ogg, dBFS is -9.5
Noisy file: XC166644.ogg, dBFS is -13.9
Super noisy file: XC347690.ogg, dBFS is -8.8
Noisy file: XC403164.ogg, dBFS is -15.0
Noisy file: XC334801.ogg, dBFS is -14.6
Noisy file: XC334803.ogg, dBFS is -15.0
Noisy file: XC204093.ogg, dBFS is -14.4
Noisy file: XC238226.ogg, dBFS is -12.9
Noisy file: XC266350.ogg, dBFS is -14.1
Noisy file: XC309193.ogg, dBFS is -13.2
Noisy file: XC414757.ogg, dBFS is -13.1
Super noisy file: XC469623.ogg, dBFS is -10.8
Noisy file: XC339944.ogg, dBFS is -13.8
Super noisy file: XC354095.ogg, dBFS is -10.4
Noisy file: XC476093.ogg, dBFS is -14.6
Noisy file: XC376444.ogg, dBFS is -13.8
Noisy file: XC16906.ogg, dBFS is -14.3
Noisy file: XC376445.ogg, dBFS is -13.0
Super noisy file: XC583496.ogg, dBFS is -5.8
Noisy file: XC283702.ogg, dBFS is -14.5
Super noisy file: XC548387.ogg, dBFS is -8.0
Noisy file: XC549071.ogg, dBFS is -12.2
Noisy file: XC31162.ogg, dBFS is -14.0
Super noisy file: XC509561.ogg, dBFS is -10.8
Noisy file: XC518685.ogg, dBFS is -13.9
Noisy file: XC394893.ogg, dBFS is -13.5
Noisy file: XC432766.ogg, dBFS is -14.8
Noisy file: XC149429.ogg, dBFS is -14.3
Super noisy file: XC154793.ogg, dBFS is -11.0
Noisy file: XC435948.ogg, dBFS is -15.0
Noisy file: XC216411.ogg, dBFS is -12.4
Noisy file: XC376477.ogg, dBFS is -14.4
Super noisy file: XC16949.ogg, dBFS is -11.6
Noisy file: XC16952.ogg, dBFS is -14.9
Noisy file: XC277524.ogg, dBFS is -12.4
Noisy file: XC277525.ogg, dBFS is -14.4
Super noisy file: XC382465.ogg, dBFS is -10.9
Noisy file: XC289245.ogg, dBFS is -14.4
Noisy file: XC404832.ogg, dBFS is -14.6
Noisy file: XC176361.ogg, dBFS is -12.4
Noisy file: XC457555.ogg, dBFS is -13.5
Super noisy file: XC499705.ogg, dBFS is -11.7
Super noisy file: XC457559.ogg, dBFS is -10.6
Noisy file: XC457560.ogg, dBFS is -14.8
Noisy file: XC457561.ogg, dBFS is -13.1
Noisy file: XC457562.ogg, dBFS is -13.0
Super noisy file: XC181943.ogg, dBFS is -10.6
Noisy file: XC112990.ogg, dBFS is -14.5
Noisy file: XC123773.ogg, dBFS is -14.7
Noisy file: XC154060.ogg, dBFS is -12.8
Super noisy file: XC6089.ogg, dBFS is -6.9
Noisy file: XC144472.ogg, dBFS is -12.3
Noisy file: XC145933.ogg, dBFS is -14.4
Noisy file: XC118597.ogg, dBFS is -14.6
Noisy file: XC145495.ogg, dBFS is -12.0
Noisy file: XC253891.ogg, dBFS is -12.2
Noisy file: XC253895.ogg, dBFS is -13.6
Super noisy file: XC253900.ogg, dBFS is -11.2
Super noisy file: XC253907.ogg, dBFS is -11.7
Noisy file: XC246803.ogg, dBFS is -13.1
Noisy file: XC423714.ogg, dBFS is -14.0
Noisy file: XC144860.ogg, dBFS is -13.5
Noisy file: XC251265.ogg, dBFS is -13.6
Super noisy file: XC430563.ogg, dBFS is -9.6
Noisy file: XC307946.ogg, dBFS is -14.3
Super noisy file: XC205686.ogg, dBFS is -9.9
Noisy file: XC313905.ogg, dBFS is -14.1
Noisy file: XC315211.ogg, dBFS is -13.7
Noisy file: XC557100.ogg, dBFS is -13.7
Noisy file: XC389658.ogg, dBFS is -12.8
Super noisy file: XC329623.ogg, dBFS is -11.0
Super noisy file: XC361205.ogg, dBFS is -11.6
Noisy file: XC367905.ogg, dBFS is -12.6
Noisy file: XC153866.ogg, dBFS is -13.1
Super noisy file: XC154451.ogg, dBFS is -3.9
Noisy file: XC378362.ogg, dBFS is -14.2
Super noisy file: XC205289.ogg, dBFS is -11.2
Noisy file: XC277387.ogg, dBFS is -13.8
Noisy file: XC282849.ogg, dBFS is -14.3
Super noisy file: XC297964.ogg, dBFS is -11.2
Noisy file: XC297973.ogg, dBFS is -14.1
Noisy file: XC277917.ogg, dBFS is -13.3
Super noisy file: XC581716.ogg, dBFS is -11.0
Noisy file: XC614735.ogg, dBFS is -14.0
Noisy file: XC167564.ogg, dBFS is -14.4
Super noisy file: XC171042.ogg, dBFS is -6.8
Noisy file: XC118592.ogg, dBFS is -13.6
Super noisy file: XC233405.ogg, dBFS is -10.6
Noisy file: XC238681.ogg, dBFS is -15.0
Super noisy file: XC233406.ogg, dBFS is -11.9
Noisy file: XC432455.ogg, dBFS is -14.0
Noisy file: XC213564.ogg, dBFS is -13.3
Noisy file: XC598073.ogg, dBFS is -14.2
Noisy file: XC282248.ogg, dBFS is -14.9
Noisy file: XC283549.ogg, dBFS is -14.4
Noisy file: XC506644.ogg, dBFS is -14.9
Noisy file: XC243.ogg, dBFS is -13.3
Super noisy file: XC405871.ogg, dBFS is -8.6
Super noisy file: XC405873.ogg, dBFS is -11.9
Noisy file: XC190806.ogg, dBFS is -14.9
Noisy file: XC396189.ogg, dBFS is -15.0
Super noisy file: XC396190.ogg, dBFS is -10.8
Noisy file: XC185847.ogg, dBFS is -13.6
Noisy file: XC513208.ogg, dBFS is -14.9
Noisy file: XC553236.ogg, dBFS is -14.7
Super noisy file: XC493912.ogg, dBFS is -11.2
Noisy file: XC494293.ogg, dBFS is -14.9
Noisy file: XC182799.ogg, dBFS is -13.2
Noisy file: XC613986.ogg, dBFS is -14.9
Super noisy file: XC11760.ogg, dBFS is -8.6
Noisy file: XC457203.ogg, dBFS is -13.0
Noisy file: XC461439.ogg, dBFS is -13.3
Super noisy file: XC153859.ogg, dBFS is -4.8
Noisy file: XC144626.ogg, dBFS is -13.2
Noisy file: XC253937.ogg, dBFS is -15.0
Noisy file: XC253944.ogg, dBFS is -14.6
Noisy file: XC253958.ogg, dBFS is -14.2
Noisy file: XC182834.ogg, dBFS is -15.0
Noisy file: XC368220.ogg, dBFS is -12.9
Noisy file: XC379480.ogg, dBFS is -14.0
Noisy file: XC385291.ogg, dBFS is -12.2
Noisy file: XC421941.ogg, dBFS is -14.8
Super noisy file: XC380693.ogg, dBFS is -10.8
Super noisy file: XC384416.ogg, dBFS is -10.7
Noisy file: XC478698.ogg, dBFS is -13.3
Noisy file: XC583536.ogg, dBFS is -15.0
Super noisy file: XC208974.ogg, dBFS is -11.8
Noisy file: XC208976.ogg, dBFS is -14.4
Noisy file: XC299600.ogg, dBFS is -12.0
Noisy file: XC150063.ogg, dBFS is -14.6
Super noisy file: XC152348.ogg, dBFS is -3.0
Super noisy file: XC216531.ogg, dBFS is -11.9
Noisy file: XC154030.ogg, dBFS is -13.6
Noisy file: XC364361.ogg, dBFS is -14.7
Super noisy file: XC8845.ogg, dBFS is -11.8
Noisy file: XC131963.ogg, dBFS is -14.2
Noisy file: XC412723.ogg, dBFS is -13.2
Noisy file: XC412724.ogg, dBFS is -13.5
Noisy file: XC412742.ogg, dBFS is -12.3
Noisy file: XC412743.ogg, dBFS is -12.4
Super noisy file: XC412745.ogg, dBFS is -9.2
Super noisy file: XC149767.ogg, dBFS is -11.0
Super noisy file: XC144280.ogg, dBFS is -11.5
Super noisy file: XC339950.ogg, dBFS is -11.8
Super noisy file: XC531307.ogg, dBFS is -11.2
Noisy file: XC339952.ogg, dBFS is -14.4
Noisy file: XC16891.ogg, dBFS is -13.9
Noisy file: XC16892.ogg, dBFS is -13.6
Super noisy file: XC254076.ogg, dBFS is -8.7
Noisy file: XC489575.ogg, dBFS is -14.9
Noisy file: XC405866.ogg, dBFS is -14.5
Noisy file: XC353400.ogg, dBFS is -13.4
Noisy file: XC385352.ogg, dBFS is -12.8
Noisy file: XC385386.ogg, dBFS is -13.0
Super noisy file: XC15200.ogg, dBFS is -7.1
Noisy file: XC415590.ogg, dBFS is -12.6
Noisy file: XC443972.ogg, dBFS is -14.1
Noisy file: XC187982.ogg, dBFS is -13.4
Noisy file: XC200393.ogg, dBFS is -13.9
Super noisy file: XC301381.ogg, dBFS is -9.4
Noisy file: XC117004.ogg, dBFS is -14.2
Noisy file: XC613947.ogg, dBFS is -14.4
Noisy file: XC418323.ogg, dBFS is -14.6
Super noisy file: XC119226.ogg, dBFS is -11.2
Noisy file: XC134520.ogg, dBFS is -14.6
Noisy file: XC314626.ogg, dBFS is -14.4
Super noisy file: XC372945.ogg, dBFS is -9.7
Noisy file: XC278095.ogg, dBFS is -12.5
Noisy file: XC278097.ogg, dBFS is -13.0
Super noisy file: XC153857.ogg, dBFS is -8.3
Noisy file: XC153861.ogg, dBFS is -12.7
Super noisy file: XC365442.ogg, dBFS is -11.7
Noisy file: XC387523.ogg, dBFS is -14.9
Noisy file: XC405574.ogg, dBFS is -13.7
Super noisy file: XC454493.ogg, dBFS is -9.6
Noisy file: XC23519.ogg, dBFS is -12.4
Noisy file: XC454494.ogg, dBFS is -13.8
Super noisy file: XC23520.ogg, dBFS is -10.4
Super noisy file: XC23521.ogg, dBFS is -11.1
Noisy file: XC116063.ogg, dBFS is -12.2
Noisy file: XC23523.ogg, dBFS is -13.0
Super noisy file: XC116064.ogg, dBFS is -10.7
Noisy file: XC23524.ogg, dBFS is -12.9
Noisy file: XC493909.ogg, dBFS is -13.8
Noisy file: XC352836.ogg, dBFS is -14.5
Noisy file: XC374217.ogg, dBFS is -14.7
Noisy file: XC272311.ogg, dBFS is -14.5
Noisy file: XC272313.ogg, dBFS is -13.6
Noisy file: XC272314.ogg, dBFS is -12.3
Super noisy file: XC113783.ogg, dBFS is -8.4
Noisy file: XC108600.ogg, dBFS is -14.6
Noisy file: XC360684.ogg, dBFS is -14.1
Noisy file: XC368580.ogg, dBFS is -14.3
Noisy file: XC378635.ogg, dBFS is -13.4
Noisy file: XC466037.ogg, dBFS is -13.4
Noisy file: XC407102.ogg, dBFS is -12.9
Noisy file: XC516222.ogg, dBFS is -14.3
Noisy file: XC153864.ogg, dBFS is -13.1
Noisy file: XC238883.ogg, dBFS is -14.9
Noisy file: XC166790.ogg, dBFS is -13.1
Noisy file: XC186585.ogg, dBFS is -14.9
Noisy file: XC544458.ogg, dBFS is -12.8
Super noisy file: XC152364.ogg, dBFS is -10.2
Super noisy file: XC153636.ogg, dBFS is -11.5
Super noisy file: XC603501.ogg, dBFS is -5.9
Noisy file: XC603503.ogg, dBFS is -13.7
Super noisy file: XC152766.ogg, dBFS is -10.0
Noisy file: XC616813.ogg, dBFS is -14.4
Noisy file: XC522605.ogg, dBFS is -13.0
Noisy file: XC123362.ogg, dBFS is -14.8
Noisy file: XC264266.ogg, dBFS is -12.8
Noisy file: XC383483.ogg, dBFS is -12.8
Noisy file: XC502569.ogg, dBFS is -12.1
Noisy file: XC375503.ogg, dBFS is -14.7
Super noisy file: XC553235.ogg, dBFS is -11.2
Super noisy file: XC338873.ogg, dBFS is -7.2
Super noisy file: XC358175.ogg, dBFS is -9.9
Noisy file: XC119026.ogg, dBFS is -13.0
Noisy file: XC155576.ogg, dBFS is -14.8
Super noisy file: XC142314.ogg, dBFS is -7.7
Super noisy file: XC618394.ogg, dBFS is -7.9
Noisy file: XC11468.ogg, dBFS is -13.8
Noisy file: XC19147.ogg, dBFS is -12.4
Super noisy file: XC234671.ogg, dBFS is -9.8
Noisy file: XC10407.ogg, dBFS is -13.8
Noisy file: XC376475.ogg, dBFS is -13.6
Super noisy file: XC405852.ogg, dBFS is -11.4
Noisy file: XC128591.ogg, dBFS is -12.1
Noisy file: XC24098.ogg, dBFS is -14.4
Super noisy file: XC582153.ogg, dBFS is -10.8
Noisy file: XC235949.ogg, dBFS is -14.8
Noisy file: XC277527.ogg, dBFS is -14.9
Super noisy file: XC264256.ogg, dBFS is -10.1
Noisy file: XC63499.ogg, dBFS is -14.4
Noisy file: XC454498.ogg, dBFS is -13.1
Super noisy file: XC454499.ogg, dBFS is -11.4
Super noisy file: XC376110.ogg, dBFS is -10.5
Noisy file: XC170062.ogg, dBFS is -14.9
Super noisy file: XC330071.ogg, dBFS is -6.9
Noisy file: XC332160.ogg, dBFS is -12.5
Noisy file: XC201255.ogg, dBFS is -13.1
Noisy file: XC20538.ogg, dBFS is -15.0
Super noisy file: XC265800.ogg, dBFS is -11.1
Noisy file: XC145321.ogg, dBFS is -14.4
Super noisy file: XC216250.ogg, dBFS is -11.8
Noisy file: XC617208.ogg, dBFS is -12.8
Super noisy file: XC619239.ogg, dBFS is -11.2
Super noisy file: XC619240.ogg, dBFS is -11.7
Noisy file: XC173212.ogg, dBFS is -14.6
Noisy file: XC16970.ogg, dBFS is -14.4
Noisy file: XC54854.ogg, dBFS is -14.7
Noisy file: XC148726.ogg, dBFS is -13.8
Super noisy file: XC202291.ogg, dBFS is -11.3
Super noisy file: XC10563.ogg, dBFS is -12.0
Noisy file: XC351960.ogg, dBFS is -14.1
Super noisy file: XC145458.ogg, dBFS is -8.4
Noisy file: XC325696.ogg, dBFS is -13.7
Noisy file: XC418322.ogg, dBFS is -13.6
Noisy file: XC118896.ogg, dBFS is -14.2
Noisy file: XC185833.ogg, dBFS is -13.3
Noisy file: XC388405.ogg, dBFS is -14.2
Super noisy file: XC131754.ogg, dBFS is -11.8
Noisy file: XC78186.ogg, dBFS is -14.1
Noisy file: XC239858.ogg, dBFS is -14.5
Super noisy file: XC375517.ogg, dBFS is -10.7
Noisy file: XC375518.ogg, dBFS is -14.2
Noisy file: XC375519.ogg, dBFS is -13.5
Noisy file: XC384415.ogg, dBFS is -14.8
Noisy file: XC116.ogg, dBFS is -14.9
Super noisy file: XC491818.ogg, dBFS is -9.9
Super noisy file: XC152723.ogg, dBFS is -8.0
Super noisy file: XC31290.ogg, dBFS is -10.9
Super noisy file: XC546880.ogg, dBFS is -11.1
Super noisy file: XC394676.ogg, dBFS is -9.0
Super noisy file: XC394677.ogg, dBFS is -10.1
